Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
24,24077.0,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,52870,3491299000.0,51620,2231924000,Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,103070,85702,238,50164,99.1,435,0.9,50599,59.0,Liberal
24,24078.0,Vimy,42930,1804123000.0,48200,1521791000,Quebec,Vimy,104373,86225,232,54343,98.3,941,1.7,55284,64.1,Liberal
35,35001.0,Ajax,43020,2350928000.0,47760,1870381000,Ontario,Ajax,109600,85251,210,56307,99.6,206,0.4,56513,66.3,Liberal
35,35002.0,Algoma--Manitoulin--Kapuskasing,32360,1509658000.0,32420,997832000,Ontario,Algoma--Manitoulin--Kapuskasing,79801,63253,211,41374,99.6,161,0.4,41535,65.7,NDP
35,35003.0,Aurora--Oak Ridges--Richmond Hill,42950,2858021000.0,46170,2004420000,Ontario,Aurora--Oak Ridges--Richmond Hill,106064,79127,204,50980,99.6,204,0.4,51184,64.7,Liberal
35,35004.0,Barrie--Innisfil,40540,2339197000.0,43300,1636907000,Ontario,Barrie--Innisfil,101584,77320,201,49341,99.6,187,0.4,49528,64.1,Conservative
35,35005.0,Barrie--Springwater--Oro-Medonte,36290,2045733000.0,39160,1535003000,Ontario,Barrie--Springwater--Oro-Medonte,97876,76084,217,50535,99.6,181,0.4,50716,66.7,Conservative
35,35006.0,Bay of Quinte,42780,2079032000.0,46630,1657729000,Ontario,Bay of Quinte,109488,85021,239,57713,99.6,211,0.4,57924,68.1,Liberal
35,35007.0,Beaches--East York,39170,2591275000.0,43720,2131932000,Ontario,Beaches--East York,107084,77440,194,55530,99.6,216,0.4,55746,72.0,Liberal
35,35008.0,Brampton Centre,38290,1601226000.0,41160,1259882000,Ontario,Brampton Centre,103122,65460,181,39632,99.3,264,0.7,39896,60.9,Liberal
35,35009.0,Brampton East,48720,1996400000.0,50000,1408489000,Ontario,Brampton East,99712,69251,179,45206,99.3,304,0.7,45510,65.7,Liberal
35,35010.0,Brampton North,45850,2021163000.0,48340,1553323000,Ontario,Brampton North,111951,74148,187,48166,99.3,318,0.7,48484,65.4,Liberal
35,35011.0,Brampton South,47950,2010304000.0,49870,1531475000,Ontario,Brampton South,107364,73019,193,45464,99.4,270,0.6,45734,62.6,Liberal
35,35012.0,Brampton West,49180,2166710000.0,52320,1614553000,Ontario,Brampton West,101762,71990,173,43398,99.4,245,0.6,43643,60.6,Liberal
35,35013.0,Brantford--Brant,47330,2345300000.0,50320,1774504000,Ontario,Brantford--Brant,132443,97409,259,63272,99.6,272,0.4,63544,65.2,Conservative
