,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
98,11003,Egmont,28.00%,35.00%,24.00%,13.00%,Prince Edward Island,Liberal
99,35025,Elgin--Middlesex--London,24.00%,32.00%,30.00%,14.00%,Ontario,Conservative
100,46005,Elmwood--Transcona,20.00%,39.00%,22.00%,19.00%,Manitoba,NDP
101,59026,Esquimalt--Saanich--Sooke,16.00%,35.00%,24.00%,25.00%,British Columba,NDP
102,35026,Essex,17.00%,33.00%,27.00%,22.00%,Ontario,NDP
103,35027,Etobicoke Centre,15.00%,28.00%,19.00%,38.00%,Ontario,Liberal
104,35029,Etobicoke North,25.00%,33.00%,19.00%,22.00%,Ontario,Liberal
105,35028,Etobicoke--Lakeshore,13.00%,24.00%,21.00%,43.00%,Ontario,Liberal
106,35030,Flamborough--Glanbrook,16.00%,30.00%,29.00%,25.00%,Ontario,Conservative
107,59012,Fleetwood--Port Kells,18.00%,35.00%,19.00%,27.00%,British Columba,Liberal
108,48022,Foothills,18.00%,34.00%,25.00%,24.00%,Alberta,Conservative
109,48023,Fort McMurray--Cold Lake,18.00%,34.00%,27.00%,20.00%,Alberta,Conservative
110,13003,Fredericton,14.00%,32.00%,21.00%,33.00%,New Brunswick/Nouveau-Brunswick,Liberal
111,13004,Fundy Royal,18.00%,35.00%,28.00%,19.00%,New Brunswick/Nouveau-Brunswick,Liberal
112,24026,GaspÃ©sie--Les ÃŽles-de-la-Madeleine,39.00%,25.00%,23.00%,14.00%,Quebec,Liberal
113,24027,Gatineau,26.00%,30.00%,23.00%,21.00%,Quebec,Liberal
114,35031,Glengarry--Prescott--Russell,20.00%,35.00%,28.00%,17.00%,Ontario,Liberal
115,48024,Grande Prairie--Mackenzie,27.00%,36.00%,23.00%,14.00%,Alberta,Conservative
116,35032,Guelph,16.00%,30.00%,21.00%,33.00%,Ontario,Liberal
117,35033,Haldimand--Norfolk,24.00%,35.00%,29.00%,12.00%,Ontario,Conservative
118,35034,Haliburton--Kawartha Lakes--Brock,22.00%,35.00%,30.00%,13.00%,Ontario,Conservative
119,12005,Halifax,11.00%,26.00%,16.00%,47.00%,Nova Scotia,Liberal
120,12006,Halifax West,13.00%,26.00%,22.00%,39.00%,Nova Scotia,Liberal
121,35035,Hamilton Centre,25.00%,30.00%,22.00%,23.00%,Ontario,NDP
122,35036,Hamilton East--Stoney Creek,25.00%,34.00%,25.00%,16.00%,Ontario,Liberal
123,35037,Hamilton Mountain,21.00%,34.00%,28.00%,17.00%,Ontario,NDP
124,35038,Hamilton West--Ancaster--Dundas,14.00%,27.00%,23.00%,36.00%,Ontario,Liberal
125,35039,Hastings--Lennox and Addington,22.00%,34.00%,31.00%,13.00%,Ontario,Liberal
126,24028,Hochelaga,20.00%,23.00%,22.00%,35.00%,Quebec,NDP
127,24029,HonorÃ©-Mercier,26.00%,29.00%,23.00%,23.00%,Quebec,Liberal
128,24030,Hull--Aylmer,19.00%,24.00%,21.00%,37.00%,Quebec,Liberal
